iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
0,0,0.1,1,0.00914034,0.00182491,2.04997,2.05009,0.224788,0.159816,0.440118,0.952074,0.101572,0.98438,1.50511,1.49939,0.486689,0.698884,0.637478,0.480995,1.33666e-11,9.70664e-14,900,1900
0,0,0.1,0.75,0.00935525,0.00182491,2.04998,2.05006,0.224672,0.159734,0.439982,0.952082,0.101435,0.984386,1.50511,1.49939,0.486751,0.698884,0.637457,0.481004,2.33915e-11,9.77998e-14,900,1900
0,0,1,1,0.00956125,0.00182491,2.04999,2.05001,0.224486,0.159579,0.439678,0.952096,0.101131,0.984403,1.50511,1.49939,0.48689,0.698884,0.637445,0.481028,1.33666e-11,9.83783e-14,900,1900
0,0,1,0.75,0.00967094,0.00182491,2.04999,2.05001,0.224445,0.159556,0.439653,0.952098,0.101104,0.984404,1.50511,1.49939,0.486901,0.698884,0.637432,0.481028,2.33915e-11,9.87837e-14,900,1900
0,0,10,1,0.0099256,0.00182491,2.05,2.05,0.224349,0.159501,0.43959,0.952104,0.101038,0.984405,1.50511,1.49939,0.486929,0.698884,0.637403,0.48103,1.33666e-11,9.78936e-14,900,1900
0,0,10,0.75,0.0099442,0.00182491,2.05,2.05,0.224343,0.159498,0.439587,0.952104,0.101034,0.984405,1.50511,1.49939,0.486931,0.698884,0.637401,0.48103,2.33915e-11,9.84202e-14,900,1900
0,0,100,1,0.009992,0.00182491,2.05,2.05,0.224327,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,1.33666e-11,9.77805e-14,900,1900
0,0,100,0.75,0.009994,0.00182491,2.05,2.05,0.224326,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,2.33915e-11,9.83354e-14,900,1900
0,0,1000,1,0.00997289,0.00182491,2.05,2.05,0.224334,0.159493,0.439582,0.952105,0.101029,0.984405,1.50511,1.49939,0.486933,0.698884,0.637398,0.481031,5.34667e-11,1e-13,900,1900
0,0,1000,0.75,0.00997966,0.00182491,2.05,2.05,0.224331,0.159492,0.43958,0.952105,0.101027,0.984405,1.50511,1.49939,0.486934,0.698884,0.637397,0.481031,5.34665e-11,1e-13,900,1900
1,0,0.1,1,0.00677903,0.00207148,2.04974,2.05027,0.226481,0.16048,0.441652,0.951936,0.103056,0.984312,1.50508,1.49939,0.485901,0.698884,0.638005,0.480813,1.40389e-11,2.5e-14,900,1900
1,0,0.1,0.75,0.00736936,0.00200984,2.0498,2.05022,0.226058,0.160314,0.441269,0.95197,0.102685,0.984329,1.50508,1.49939,0.486098,0.698884,0.637874,0.480859,1.38708e-11,4.30166e-14,900,1900
1,0,1,1,0.00768628,0.00211024,2.04992,2.05011,0.225201,0.15995,0.440344,0.952046,0.101789,0.984375,1.5051,1.49939,0.486575,0.698884,0.637623,0.480973,1.33666e-11,2.5e-14,900,1900
1,0,1,0.75,0.00804979,0.00203891,2.04994,2.0501,0.225097,0.159916,0.440288,0.952053,0.101734,0.984376,1.5051,1.49939,0.486604,0.698884,0.637586,0.480979,1.33666e-11,4.30166e-14,900,1900
1,0,10,1,0.00880958,0.00211476,2.04996,2.05009,0.224858,0.159839,0.440152,0.952069,0.101605,0.984379,1.50511,1.49939,0.486672,0.698884,0.637503,0.480991,1.33666e-11,2.5e-14,900,1900
1,0,10,0.75,0.00889227,0.0020423,2.04996,2.05009,0.22484,0.159833,0.440144,0.95207,0.101597,0.984379,1.50511,1.49939,0.486676,0.698884,0.637497,0.480992,1.33666e-11,4.30166e-14,900,1900
1,0,100,1,0.00905163,0.00208398,2.04997,2.05009,0.224807,0.159824,0.440128,0.952073,0.101582,0.984379,1.50511,1.49939,0.486684,0.698884,0.637485,0.480994,1.33666e-11,2.5e-14,900,1900
1,0,100,0.75,0.00907381,0.00201921,2.04997,2.05009,0.224802,0.159822,0.440125,0.952073,0.10158,0.98438,1.50511,1.49939,0.486686,0.698884,0.637483,0.480994,1.33666e-11,4.30166e-14,900,1900
1,0,1000,1,0.00909994,0.00196493,2.04997,2.05009,0.224797,0.15982,0.440122,0.952073,0.101577,0.98438,1.50511,1.49939,0.486687,0.698884,0.637481,0.480995,1.3402e-11,9.95065e-14,900,1900
1,0,1000,0.75,0.00911004,0.00192993,2.04997,2.05009,0.224795,0.159819,0.440121,0.952073,0.101576,0.98438,1.50511,1.49939,0.486688,0.698884,0.63748,0.480995,1.33932e-11,9.88965e-14,900,1900
2,0,0.1,1,0.00669638,0.00207291,2.04973,2.05027,0.226523,0.160517,0.441743,0.951927,0.103136,0.984308,1.50507,1.49939,0.485862,0.698884,0.638003,0.480823,1.33666e-11,2.5e-14,900,1900
2,0,0.1,0.75,0.00671704,0.00207256,2.04973,2.05027,0.226513,0.160507,0.44172,0.951929,0.103116,0.984309,1.50507,1.49939,0.485872,0.698884,0.638003,0.48082,1.35346e-11,2.5e-14,900,1900
2,0,1,1,0.00668889,0.00207615,2.04974,2.05027,0.226497,0.160489,0.441669,0.951934,0.103071,0.984312,1.50508,1.49939,0.485894,0.698884,0.638009,0.480815,1.33666e-11,2.5e-14,900,1900
2,0,1,0.75,0.00671143,0.00207498,2.04974,2.05027,0.226493,0.160487,0.441665,0.951934,0.103067,0.984312,1.50508,1.49939,0.485896,0.698884,0.638008,0.480815,1.35346e-11,2.5e-14,900,1900
2,0,10,1,0.0066341,0.00210385,2.04974,2.05027,0.226497,0.160486,0.441663,0.951935,0.103066,0.984312,1.50508,1.49939,0.485896,0.698884,0.638012,0.480814,1.33666e-11,2.5e-14,900,1900
2,0,10,0.75,0.00667034,0.00209576,2.04974,2.05027,0.226493,0.160485,0.44166,0.951935,0.103064,0.984312,1.50508,1.49939,0.485898,0.698884,0.63801,0.480814,1.35346e-11,2.5e-14,900,1900
2,0,100,1,0.00674561,0.00210454,2.04974,2.05027,0.226485,0.160481,0.441655,0.951936,0.103058,0.984312,1.50508,1.49939,0.4859,0.698884,0.638007,0.480813,1.33661e-11,2.5e-14,900,1900
2,0,100,0.75,0.00675397,0.00209628,2.04974,2.05027,0.226484,0.160481,0.441654,0.951936,0.103058,0.984312,1.50508,1.49939,0.4859,0.698884,0.638007,0.480813,1.35343e-11,2.5e-14,900,1900
2,0,1000,1,0.00673387,0.00215761,2.04974,2.05027,0.226486,0.160482,0.441656,0.951935,0.103059,0.984312,1.50508,1.49939,0.4859,0.698884,0.638007,0.480813,1.33666e-11,2.5e-14,900,1900
